#date,#size
17/11/2023,291985388573
18/11/2023,292497460501
19/11/2023,293091614097
20/11/2023,293666432939
21/11/2023,294268586497
22/11/2023,294825321161
23/11/2023,295423965047
24/11/2023,295977773471
25/11/2023,296548806680
26/11/2023,297099011565
27/11/2023,297668799026
28/11/2023,298229992931
29/11/2023,298840035095
30/11/2023,299384832025
01/12/2023,299998913469
02/12/2023,300548530928
03/12/2023,301179142826
04/12/2023,301311203934
05/12/2023,301601682115
06/12/2023,302516793065
07/12/2023,303125415037
08/12/2023,303679143639
09/12/2023,304259848925
10/12/2023,304873334096
11/12/2023,305432047085
12/12/2023,306036928524
13/12/2023,306621709936
15/12/2023,307899012059
16/12/2023,308448583261
17/12/2023,309092249575
18/12/2023,309545695120
19/12/2023,309715038990
20/12/2023,310308795203
21/12/2023,310899930385
22/12/2023,311781254765
23/12/2023,313191065157
24/12/2023,314560767545
25/12/2023,315429519102
26/12/2023,316006231674
27/12/2023,316582686861
28/12/2023,317166220823
29/12/2023,317749228624
30/12/2023,318602507210
31/12/2023,319184990375
01/01/2024,319762755972
02/01/2024,320340782661
03/01/2024,320918286348
04/01/2024,321501819621
05/01/2024,322091644429
06/01/2024,322686186159
07/01/2024,323277845314
08/01/2024,323866358536
09/01/2024,324722521932
10/01/2024,325314705321
11/01/2024,325906101786
12/01/2024,326522403779
13/01/2024,327108556246
14/01/2024,328282829525
15/01/2024,328898280086
16/01/2024,329452287509
17/01/2024,330078087459
18/01/2024,330517215689
19/01/2024,330652219123
20/01/2024,331378096226
21/01/2024,331968706496
22/01/2024,332561414226
23/01/2024,333143111406
24/01/2024,333726906077
25/01/2024,334309390446
26/01/2024,334893446784
27/01/2024,335479339173
28/01/2024,336070735948
29/01/2024,336662394112
30/01/2024,337256937165
31/01/2024,337851479465
01/02/2024,338456508439
02/02/2024,339056555893
03/02/2024,339656865325
04/02/2024,340258486204
05/02/2024,340258486204
06/02/2024,340258486204
07/02/2024,340258486204
08/02/2024,340258486204
09/02/2024,340258486204
10/02/2024,340258486204
11/02/2024,344676923580
12/02/2024,345051003038
13/02/2024,345650526765
14/02/2024,346267875411
15/02/2024,346865825724
16/02/2024,347462465714
17/02/2024,348062775707
18/02/2024,348663871521
19/02/2024,349263919679
20/02/2024,349867637264
21/02/2024,350475549411
22/02/2024,351078218418
23/02/2024,351684294666
24/02/2024,352283294553
25/02/2024,352887798726
26/02/2024,353487583594
27/02/2024,354091039495
28/02/2024,354696854762
29/02/2024,355302669207
01/03/2024,355901406107
02/03/2024,356504600048
03/03/2024,357103598564
04/03/2024,357687916862
05/03/2024,358274332858
06/03/2024,358858915065
07/03/2024,359450312381
08/03/2024,360046166115
09/03/2024,360644115727
10/03/2024,361241803763
11/03/2024,361840279092
12/03/2024,362436918844
13/03/2024,363037490893
14/03/2024,363637013627
15/03/2024,364238896685
16/03/2024,364842352103
17/03/2024,365441350701
18/03/2024,366040874100
19/03/2024,366644067463
20/03/2024,367248572289
21/03/2024,367852027499
22/03/2024,368449977450
23/03/2024,369047928448
24/03/2024,369647975963
25/03/2024,370346064909
26/03/2024,370939821925
27/03/2024,371539344640
28/03/2024,372137032773
29/03/2024,372732099491
30/03/2024,373330050408
31/03/2024,373927214525
01/04/2024,374515989802
02/04/2024,375096377311
03/04/2024,375700094276
04/04/2024,376297258572
05/04/2024,376896257813
06/04/2024,377765788197
07/04/2024,378366622954
08/04/2024,378965097538
09/04/2024,379560164395
10/04/2024,380603759990
11/04/2024,380755541730
12/04/2024,381347461714
13/04/2024,381943053561
14/04/2024,382534975024
15/04/2024,383127681953
16/04/2024,383727991670
17/04/2024,384325155664
18/04/2024,384933067497
19/04/2024,385531280048
20/04/2024,386742079249
21/04/2024,387354629419
22/04/2024,388388280869
23/04/2024,388953422721
24/04/2024,389559176243
25/04/2024,389860852318
26/04/2024,390189841286
27/04/2024,390763151407
28/04/2024,391347732379
29/04/2024,391930739972
30/04/2024,392510865167
01/05/2024,393095970301
02/05/2024,393684746062
03/05/2024,394277192168
04/05/2024,394873306896
05/05/2024,395463917342
06/05/2024,396289933837
07/05/2024,396645400281
08/05/2024,397232078433
09/05/2024,397836059269
10/05/2024,398431650526
11/05/2024,399022522929
12/05/2024,399639347744
13/05/2024,400239657579
14/05/2024,400846258913
15/05/2024,401467277846
16/05/2024,402063917409
17/05/2024,402676549046
18/05/2024,403290227917
19/05/2024,403906265698
20/05/2024,404515749961
21/05/2024,405125497411
22/05/2024,405752284051
23/05/2024,406364651870
24/05/2024,406969418792
25/05/2024,407574709355
26/05/2024,408180261744
27/05/2024,408803640367
28/05/2024,409416795256
29/05/2024,410026279156
30/05/2024,410635764218
31/05/2024,411252589361
01/06/2024,411870200283
02/06/2024,412476801406
03/06/2024,413099917767
04/06/2024,413720675407
05/06/2024,414328062358
06/06/2024,414946722454
07/06/2024,415568528350
08/06/2024,416188498295
09/06/2024,416799818327
10/06/2024,417399866294
11/06/2024,418000700434
12/06/2024,418604155743
13/06/2024,419218097056
14/06/2024,419838591158
15/06/2024,420463543500
16/06/2024,421088756414
17/06/2024,421707941498
18/06/2024,422316114237
19/06/2024,422938969898
20/06/2024,423564706541
21/06/2024,424183628968
22/06/2024,424802551041
23/06/2024,425416492065
24/06/2024,426030694913
25/06/2024,426660365841
26/06/2024,427275617705
27/06/2024,427896897880
28/06/2024,428516868564
29/06/2024,429153092832
30/06/2024,429785121091
01/07/2024,430401159246
02/07/2024,431045510460
03/07/2024,431687499290
04/07/2024,432303801526
05/07/2024,432914072830
06/07/2024,433509925559
07/07/2024,434106565009
08/07/2024,434708184996
09/07/2024,435318718984
10/07/2024,435943670008
11/07/2024,436554464837
12/07/2024,437162639372
